assembly_number,assembly_revision,configuration_name,parent_part_number,level,find_number,sequence_number,part_number,part_revision,description,quantity,uom,effectivity_start,effectivity_end,item_type,make_buy,reference_designator,notes
ASM-2000,B,Standard,ASM-2000,1,10,10,SA-100,B,"Motor assembly, 0.75 kW",1,EA,,,Assembly,MAKE,,
ASM-2000,B,Standard,SA-100,2,10,,MTR-0750,A,"Motor, 0.75 kW, 400 V",1,EA,,,Part,BUY,M1,
ASM-2000,B,Standard,SA-100,2,20,,CPL-010,A,Jaw coupling 19/24,1,EA,2026-03-01,,Part,BUY,,Supplier change from March
ASM-2000,B,Standard,SA-100,2,30,,SA-110,A,Terminal box assembly,1,EA,,,Assembly,MAKE,,
ASM-2000,B,Standard,SA-110,3,10,,TB-6,A,"Terminal block, 6-pole","1",EA,,,Part,BUY,"X1, X2",
ASM-2000,B,Standard,SA-110,3,20,,GLD-M20,A,Cable gland M20,2,EA,,,Part,BUY,,
ASM-2000,B,Standard,SA-110,3,30,,WIRE-1.5,,"Wire, 1.5 mm², black",2.5,M,,,Part,BUY,,Cut to length
ASM-2000,B,Standard,SA-110,3,40,,0450-1003,A,"Screw, M5x12, DIN 912",4,EA,,,Part,BUY,,Now fitted in the terminal box
ASM-2000,B,Standard,ASM-2000,1,20,25,SA-200,C,Gearbox assembly,1,EA,,,Assembly,MAKE,,
ASM-2000,B,Standard,SA-200,2,10,,GBX-HSG,B,Gearbox housing,1,EA,,,Part,MAKE,,
ASM-2000,B,Standard,SA-200,2,20,,SHF-020,C,Output shaft,1,EA,,,Part,MAKE,,
ASM-2000,B,Standard,SA-200,2,30,,BRG-6204,A,"Ball bearing 6204-2RS, sealed",2,EA,,,Part,BUY,,
ASM-2000,B,Standard,SA-200,2,40,,OIL-VG220,,Gear oil ISO VG 220,0.72,KG,,,Part,BUY,,Now ordered by weight
ASM-2000,B,Standard,SA-200,2,50,,SA-110,A,Terminal box assembly,1,EA,,,Assembly,MAKE,,Sensor junction box
ASM-2000,B,Standard,SA-110,3,10,,TB-6,A,"Terminal block, 6-pole",1,EA,,,Part,BUY,"X1, X2",
ASM-2000,B,Standard,SA-110,3,20,,GLD-M20,A,Cable gland M20,2,EA,,,Part,BUY,,
ASM-2000,B,Standard,SA-110,3,30,,WIRE-1.5,,"Wire, 1.5 mm², black",2.5,M,,,Part,BUY,,Cut to length
ASM-2000,B,Standard,SA-110,3,40,,0450-1003,A,"Screw, M5x12, DIN 912",4,EA,,,Part,BUY,,Now fitted in the terminal box
ASM-2000,B,Standard,ASM-2000,1,30,30,SA-300,A,Frame assembly,1,EA,,,Assembly,MAKE,,
ASM-2000,B,Standard,SA-300,2,10,,FRM-001,A,"Base frame, welded",1,EA,,,Part,MAKE,,
ASM-2000,B,Standard,SA-300,2,20,,FT-050,A,Leveling foot M12,4,EA,,,Part,BUY,,
ASM-2000,B,Standard,SA-300,2,30,,0450-1001,A,"Hex bolt, M8x25, 8.8",4,EA,,,Part,BUY,,
ASM-2000,B,Standard,SA-300,2,40,,GRD-001,A,"Belt guard, sheet steel",1,EA,,,Part,MAKE,,New safety guard
ASM-2000,B,Standard,ASM-2000,1,40,40,0450-1001,A,"Hex bolt, M8x25, 8.8",10,EA,,,Part,BUY,,
ASM-2000,B,Standard,ASM-2000,1,70,50,LBL-001,A,Nameplate label,1,EA,,,Reference,BUY,,
ASM-2000,B,Heavy Duty,ASM-2000,1,010,010,SA-150,A,"Motor assembly, 1.5 kW",1,EA,,,Assembly,MAKE,,
ASM-2000,B,Heavy Duty,SA-150,2,10,,MTR-1500,A,"Motor, 1.5 kW, 400 V",1,ea,,,Part,BUY,M1,
ASM-2000,B,Heavy Duty,SA-150,2,20,,CPL-020,A,Jaw coupling 24/32,1,EA,,,Part,BUY,,
ASM-2000,B,Heavy Duty,SA-150,2,30,,0450-1003,A,"Screw, M5x12, DIN 912",4,EA,,,Part,BUY,,
ASM-2000,B,Heavy Duty,ASM-2000,1,020,020,SA-200,C,Gearbox assembly,1,EA,,,Assembly,MAKE,,
ASM-2000,B,Heavy Duty,SA-200,2,10,,GBX-HSG,B,Gearbox housing,1,EA,,,Part,MAKE,,
ASM-2000,B,Heavy Duty,SA-200,2,20,,SHF-020,C,Output shaft,1,EA,,,Part,MAKE,,
ASM-2000,B,Heavy Duty,SA-200,2,30,,BRG-6204,A,Ball bearing 6204,2,EA,,,Part,BUY,,
ASM-2000,B,Heavy Duty,SA-200,2,40,,OIL-VG220,,Gear oil ISO VG 220,1.2,L,,,Part,BUY,,
ASM-2000,B,Heavy Duty,ASM-2000,1,030,030,SA-300,A,Frame assembly,1,EA,,,Assembly,MAKE,,
ASM-2000,B,Heavy Duty,SA-300,2,10,,FRM-002,A,"Base frame, welded, reinforced",1,EA,,,Part,MAKE,,
ASM-2000,B,Heavy Duty,SA-300,2,20,,FT-050,A,Leveling foot M12,6,EA,,,Part,BUY,,
ASM-2000,B,Heavy Duty,ASM-2000,1,040,040,0450-1001,A,"Hex bolt, M8x25, 8.8",12,EA,,,Part,BUY,,
ASM-2000,B,Washdown,ASM-2000,1,10,10,SA-100,B,"Motor assembly, 0.75 kW",1,EA,,,Assembly,MAKE,,
ASM-2000,B,Washdown,ASM-2000,1,20,20,GBX-SS10,A,"Gearbox, stainless, IP69K",1,EA,,,Part,BUY,,
ASM-2000,B,Washdown,ASM-2000,1,30,30,FRM-SS01,A,"Frame, stainless steel",1,EA,,,Part,MAKE,,
